"File_220518_105221 - RawData"
"Wavelength nm."	"Abs."
621.00	0.26684
621.20	0.26689
621.40	0.26689
621.60	0.26688
621.80	0.26692
622.00	0.26693
622.20	0.26698
622.40	0.26699
622.60	0.26705
622.80	0.26708
623.00	0.26711
623.20	0.26713
623.40	0.26715
623.60	0.26721
623.80	0.26724
624.00	0.26732
624.20	0.26737
624.40	0.26738
624.60	0.26743
624.80	0.26748
625.00	0.26752
625.20	0.26760
625.40	0.26766
625.60	0.26770
625.80	0.26774
626.00	0.26781
626.20	0.26783
626.40	0.26789
626.60	0.26790
626.80	0.26803
627.00	0.26810
627.20	0.26815
627.40	0.26815
627.60	0.26820
627.80	0.26822
628.00	0.26830
628.20	0.26838
628.40	0.26845
628.60	0.26848
628.80	0.26858
629.00	0.26865
629.20	0.26874
629.40	0.26872
629.60	0.26879
629.80	0.26884
630.00	0.26894
630.20	0.26900
630.40	0.26906
630.60	0.26914
630.80	0.26918
631.00	0.26924
631.20	0.26933
631.40	0.26935
631.60	0.26940
631.80	0.26948
632.00	0.26958
632.20	0.26962
632.40	0.26972
632.60	0.26977
632.80	0.26982
633.00	0.26993
633.20	0.27000
633.40	0.27010
633.60	0.27022
633.80	0.27031
634.00	0.27048
634.20	0.27059
634.40	0.27072
634.60	0.27086
634.80	0.27105
635.00	0.27126
635.20	0.27146
635.40	0.27175
635.60	0.27198
635.80	0.27223
636.00	0.27255
636.20	0.27282
636.40	0.27313
636.60	0.27347
636.80	0.27384
637.00	0.27423
637.20	0.27462
637.40	0.27503
637.60	0.27540
637.80	0.27585
638.00	0.27625
638.20	0.27666
638.40	0.27709
638.60	0.27751
638.80	0.27794
639.00	0.27841
639.20	0.27885
639.40	0.27926
639.60	0.27970
639.80	0.28013
640.00	0.28056
640.20	0.28097
640.40	0.28134
640.60	0.28170
640.80	0.28209
641.00	0.28241
641.20	0.28268
641.40	0.28301
641.60	0.28328
641.80	0.28351
642.00	0.28370
642.20	0.28382
642.40	0.28396
642.60	0.28400
642.80	0.28409
643.00	0.28413
643.20	0.28416
643.40	0.28415
643.60	0.28412
643.80	0.28409
644.00	0.28397
644.20	0.28378
644.40	0.28361
644.60	0.28351
644.80	0.28337
645.00	0.28316
645.20	0.28300
645.40	0.28276
645.60	0.28252
645.80	0.28226
646.00	0.28197
646.20	0.28168
646.40	0.28137
646.60	0.28104
646.80	0.28081
647.00	0.28052
647.20	0.28020
647.40	0.27989
647.60	0.27959
647.80	0.27929
648.00	0.27902
648.20	0.27874
648.40	0.27844
648.60	0.27819
648.80	0.27795
649.00	0.27775
649.20	0.27753
649.40	0.27728
649.60	0.27710
649.80	0.27688
650.00	0.27671
650.20	0.27654
650.40	0.27637
650.60	0.27617
650.80	0.27602
651.00	0.27589
651.20	0.27575
651.40	0.27562
651.60	0.27545
651.80	0.27533
652.00	0.27522
652.20	0.27507
652.40	0.27496
652.60	0.27479
652.80	0.27469
653.00	0.27460
653.20	0.27448
653.40	0.27435
653.60	0.27426
653.80	0.27418
654.00	0.27405
654.20	0.27399
654.40	0.27387
654.60	0.27378
654.80	0.27368
655.00	0.27357
655.20	0.27349
655.40	0.27339
655.60	0.27325
655.80	0.27318
656.00	0.27310
656.20	0.27301
656.40	0.27291
656.60	0.27282
656.80	0.27278
657.00	0.27273
657.20	0.27262
657.40	0.27256
657.60	0.27256
657.80	0.27252
658.00	0.27246
658.20	0.27244
658.40	0.27242
658.60	0.27234
658.80	0.27234
659.00	0.27231
659.20	0.27228
659.40	0.27221
659.60	0.27218
659.80	0.27222
660.00	0.27220
660.20	0.27213
660.40	0.27210
660.60	0.27209
660.80	0.27211
661.00	0.27209
661.20	0.27212
661.40	0.27210
661.60	0.27209
661.80	0.27212
662.00	0.27211
662.20	0.27217
662.40	0.27214
662.60	0.27215
662.80	0.27219
663.00	0.27221
663.20	0.27221
663.40	0.27218
663.60	0.27219
663.80	0.27221
664.00	0.27220
664.20	0.27222
664.40	0.27221
664.60	0.27222
664.80	0.27220
665.00	0.27219
665.20	0.27224
665.40	0.27223
665.60	0.27225
665.80	0.27230
666.00	0.27230
666.20	0.27229
666.40	0.27227
666.60	0.27231
666.80	0.27234
667.00	0.27237
667.20	0.27243
667.40	0.27242
667.60	0.27245
667.80	0.27247
668.00	0.27247
668.20	0.27247
668.40	0.27250
668.60	0.27256
668.80	0.27260
669.00	0.27263
669.20	0.27265
669.40	0.27264
669.60	0.27268
669.80	0.27271
670.00	0.27273
670.20	0.27277
670.40	0.27279
670.60	0.27279
670.80	0.27285
671.00	0.27285
671.20	0.27286
671.40	0.27290
671.60	0.27293
671.80	0.27296
672.00	0.27300
672.20	0.27297
672.40	0.27295
672.60	0.27300
672.80	0.27303
673.00	0.27302
673.20	0.27306
673.40	0.27308
673.60	0.27313
673.80	0.27313
674.00	0.27313
674.20	0.27312
674.40	0.27311
674.60	0.27316
674.80	0.27316
675.00	0.27322
675.20	0.27323
675.40	0.27328
675.60	0.27329
675.80	0.27331
676.00	0.27333
676.20	0.27331
676.40	0.27334
676.60	0.27337
676.80	0.27342
677.00	0.27344
677.20	0.27345
677.40	0.27356
677.60	0.27349
677.80	0.27351
678.00	0.27348
678.20	0.27355
678.40	0.27357
678.60	0.27356
678.80	0.27359
679.00	0.27363
679.20	0.27365
679.40	0.27367
679.60	0.27369
679.80	0.27371
680.00	0.27367
680.20	0.27372
680.40	0.27376
680.60	0.27382
680.80	0.27377
681.00	0.27383
681.20	0.27384
681.40	0.27388
681.60	0.27389
681.80	0.27390
682.00	0.27390
682.20	0.27396
682.40	0.27396
682.60	0.27401
682.80	0.27401
683.00	0.27403
683.20	0.27405
683.40	0.27412
683.60	0.27414
683.80	0.27417
684.00	0.27416
684.20	0.27420
684.40	0.27421
684.60	0.27423
684.80	0.27422
685.00	0.27426
685.20	0.27424
685.40	0.27431
685.60	0.27432
685.80	0.27432
686.00	0.27434
686.20	0.27436
686.40	0.27440
686.60	0.27443
686.80	0.27436
687.00	0.27446
687.20	0.27458
687.40	0.27461
687.60	0.27464
687.80	0.27470
688.00	0.27473
688.20	0.27477
688.40	0.27485
688.60	0.27488
688.80	0.27493
689.00	0.27492
689.20	0.27496
689.40	0.27504
689.60	0.27504
689.80	0.27502
690.00	0.27508
690.20	0.27508
690.40	0.27513
690.60	0.27509
690.80	0.27506
691.00	0.27503
691.20	0.27510
691.40	0.27510
691.60	0.27516
691.80	0.27519
692.00	0.27521
692.20	0.27524
692.40	0.27527
692.60	0.27525
692.80	0.27531
693.00	0.27536
693.20	0.27545
693.40	0.27554
693.60	0.27564
693.80	0.27563
694.00	0.27568
694.20	0.27574
694.40	0.27580
694.60	0.27584
694.80	0.27587
695.00	0.27595
695.20	0.27599
695.40	0.27603
695.60	0.27605
695.80	0.27614
696.00	0.27615
696.20	0.27609
696.40	0.27611
696.60	0.27614
696.80	0.27618
697.00	0.27616
697.20	0.27623
697.40	0.27628
697.60	0.27631
697.80	0.27640
698.00	0.27643
698.20	0.27648
698.40	0.27644
698.60	0.27648
698.80	0.27659
699.00	0.27661
699.20	0.27662
699.40	0.27662
699.60	0.27662
699.80	0.27662
700.00	0.27661
700.20	0.27659
700.40	0.27660
700.60	0.27662
700.80	0.27662
701.00	0.27668
701.20	0.27673
701.40	0.27676
701.60	0.27680
701.80	0.27686
702.00	0.27692
702.20	0.27698
702.40	0.27704
702.60	0.27707
702.80	0.27711
703.00	0.27711
703.20	0.27716
703.40	0.27721
703.60	0.27725
703.80	0.27725
704.00	0.27732
704.20	0.27733
704.40	0.27735
704.60	0.27737
704.80	0.27737
705.00	0.27739
705.20	0.27748
705.40	0.27751
705.60	0.27757
705.80	0.27760
706.00	0.27761
706.20	0.27761
706.40	0.27763
706.60	0.27759
